State,2014,2015,2016,2017,2018,2019,2020
Alabama,0.020789733216316244,0.021298495531126598,0.02153355042220553,0.021217760023649092,0.02105638450021138,0.02131229542182962,0.022269488443842283
Alaska,0.015602211443882914,0.017198651192394675,0.02248931084402249,0.026451349086281332,0.028372684028758227,0.029580031706522465,0.03132017976962572
Arizona,0.021001435791229095,0.023270074830121137,0.02499723892824626,0.025184135044851882,0.02372900471620948,0.023382291692237475,0.024132909675679836
Arkansas,0.02785675765530311,0.03268750343990668,0.031151658775693016,0.03182577055150798,0.030210868542551342,0.02770619516482207,0.028872913643260136
California,0.030367971808736408,0.02954172464655317,0.027798789992721687,0.02775957009272383,0.028480533851784534,0.02766901949687113,0.027890617367705883
Colorado,0.01608552943156803,0.018939088371656417,0.020437083005943168,0.0205788385809075,0.019237672136355778,0.018216593736617576,0.01888865490909598
Connecticut,0.024584941389666593,0.025469819239522472,0.027627010221155754,0.028976394866591114,0.02973791746734774,0.030482145090523837,0.03176829052298478
Delaware,0.023790871806852413,0.025051349959928453,0.025052921665408755,0.025262489795833152,0.02533648401991758,0.024982901047234062,0.026144877073476225
District of Columbia,0.03722104933220615,0.03840393256269442,0.03912294786321803,0.04031106947706071,0.03990643999051335,0.03967508785702284,0.039140535565980565
Florida,0.018127439069844282,0.018571538580504355,0.018616162697893082,0.018553575283968143,0.01741243418113994,0.016820168344992215,0.01807363737289558
Georgia,0.017048607098019263,0.018157084410213416,0.01838299133855533,0.018604149301274037,0.019031523598946668,0.019025180607488507,0.020046653520718032
Hawaii,0.02091377659706006,0.02248771784098232,0.02477456198364459,0.025319776147929216,0.02459416120559173,0.023664626328486205,0.026723411271878016
Idaho,0.013600874376932918,0.014402464152690328,0.015023431803120598,0.015234816789698473,0.013983427640613352,0.013303075358009234,0.016421143207147795
Illinois,0.024547748669547724,0.025257424714716686,0.025605011001263556,0.025485346395310193,0.02484147937650323,0.023604610304067644,0.02476260235328138
Indiana,0.01652511916657608,0.018210853245025818,0.020488413651430015,0.021314702882048037,0.020676329454394213,0.020546693586846552,0.023108969077949175
Iowa,0.01983512733540943,0.021264732792940107,0.022405137223486457,0.022552798678259673,0.022603892187053557,0.02259782579798177,0.0237074613070524
Kansas,0.012371371337221182,0.012642932995547146,0.013731656652283902,0.01308877141439806,0.012874440219339263,0.012497274804429666,0.0129040893264992
Kentucky,0.02440574943309836,0.02788360502726723,0.02936734540367263,0.030299017638517008,0.029612884337494594,0.028642691921128623,0.03142553321223224
