State,2014,2015,2016,2017,2018,2019,2020,Average_Expense
Connecticut,35350,36941,38322,39289,40671,42190,44425,39598.28571428572
Maine,12134,12747,13347,13891,14674,15461,16306,14080.0
Massachusetts,70311,74842,78446,80621,84112,87764,91817,81130.42857142857
New Hampshire,12498,13057,13648,14278,14871,15391,16113,14265.142857142857
Rhode Island,10020,10478,10747,10872,11084,11627,12362,11027.142857142857
Vermont,6626,6890,7022,7202,7371,7588,7951,7235.714285714285
Delaware,9577,10093,10386,10962,11382,11928,12729,11008.142857142857
District of Columbia,7947,8463,8836,9154,9497,9869,10251,9145.285714285714
Maryland,51102,53905,55993,57825,60022,62052,65641,58077.142857142855
New Jersey,79880,84116,88551,91907,94830,100152,105416,92121.71428571429
New York,192710,202568,214568,226458,236451,251696,270847,227899.7142857143
Pennsylvania,116954,122294,127630,132318,139741,143026,148327,132898.57142857142
Illinois,103304,106736,110651,113085,116019,120291,128263,114049.85714285714
Indiana,52752,55323,58251,60057,62275,66818,71040,60930.857142857145
Michigan,79133,83173,86674,89192,91302,95171,98638,89040.42857142857
Ohio,97506,101747,105481,109656,112454,118988,122521,109764.71428571429
Wisconsin,48163,49871,50874,52250,53699,56218,58220,52756.42857142857
Iowa,24782,26100,26519,26801,27757,29046,30968,27424.714285714286
Kansas,21381,22221,22851,23460,24411,25470,27414,23886.85714285714
Minnesota,48633,50251,52711,54480,57064,59276,61357,54824.57142857143
Missouri,47429,50190,52437,53929,55327,57910,61031,54036.142857142855
Nebraska,15368,16231,17050,17616,18278,19166,20371,17725.714285714286
North Dakota,6652,7070,7321,7538,7805,8136,8649,7595.857142857143
South Dakota,7735,8228,8676,9122,9749,10315,11154,9282.714285714286
Alabama,35248,37172,38778,39778,40810,42903,45673,40051.71428571428
Arkansas,21624,22706,24172,25260,25740,26744,28300,24935.14285714286
Florida,158144,168417,175724,184902,194444,203957,214408,185713.7142857143
Georgia,66692,71845,75794,79219,82515,87607,93803,79639.28571428571
Kentucky,35183,36787,38238,39917,41659,43579,45922,40183.57142857143
Louisiana,36493,38275,39987,41987,42994,44986,48845,41938.142857142855
Mississippi,22439,23256,24434,25096,25106,26043,27870,24892.0
North Carolina,71488,76223,80133,83286,86089,90508,94532,83179.85714285714
South Carolina,34800,36456,38062,39488,40606,43040,45742,39742.0
Tennessee,48548,51481,53641,56977,58053,60294,64295,56184.142857142855
Virginia,61943,64847,67233,69263,71703,75519,78989,69928.14285714286
West Virginia,17368,18335,19219,20037,20475,21456,22790,19954.285714285714
Arizona,44177,47043,49926,53135,55997,59392,64980,53521.42857142857
New Mexico,14653,15505,16148,16687,17071,17761,18750,16653.571428571428
Oklahoma,29706,30900,31943,32972,34014,35343,37595,33210.42857142857
Texas,184011,198251,206379,214214,220736,232714,246812,214731.0
Colorado,35757,38589,40595,42777,45566,47715,49849,42978.28571428572
Idaho,10797,11308,11744,12481,13043,13817,14886,12582.285714285714
Montana,8122,8607,9046,9516,9932,10496,11035,9536.285714285714
Utah,17117,18237,19477,20571,22110,23042,24447,20714.428571428572
Wyoming,4822,5074,5253,5508,5667,5866,6399,5512.714285714285
Alaska,7765,8462,8734,9116,9352,9702,9975,9015.142857142857
California,288330,311146,325931,338088,357648,379715,405451,343758.4285714286
Hawaii,10225,11025,11490,12113,12711,13526,14480,12224.285714285714
Nevada,18951,20043,21537,22714,23919,25079,26200,22634.714285714286
Oregon,31323,33909,35607,36607,38354,40623,42716,37019.857142857145
Washington,53652,56652,59104,61489,64637,68253,71277,62152.0
